date,vnd_per_cad,open,high,low,change_pct,year,month
2025-02-24,17858.5,17951.34,18003.95,17850.51,-0.42,2025,2
2025-02-25,17824.96,17859.9,17928.74,17829.38,-0.19,2025,2
2025-02-26,17809.32,17838.56,17874.38,17777.23,-0.09,2025,2
2025-02-27,17674.35,17818.78,17839.19,17670.67,-0.76,2025,2
2025-02-28,17648.28,17680.46,17747.77,17657.63,-0.15,2025,2
2025-03-03,17657.42,17664.95,17813.27,17600.14,0.05,2025,3
2025-03-04,17742.27,17671.84,17786.44,17574.87,0.48,2025,3
2025-03-05,17770.5,17753.7,17798.33,17667.64,0.16,2025,3
2025-03-06,17825.42,17785.3,17912.44,17739.47,0.31,2025,3
2025-03-07,17716.59,17842.28,17875.9,17678.04,-0.61,2025,3
2025-03-10,17675.37,17737.06,17800.88,17638.02,-0.23,2025,3
2025-03-11,17627.1,17679.54,17714.79,17538.3,-0.27,2025,3
2025-03-12,17707.03,17644.01,17739.07,17579.04,0.45,2025,3
2025-03-13,17647.47,17716.86,17757.71,17650.93,-0.34,2025,3
2025-03-14,17745.3,17668.65,17774.29,17641.76,0.55,2025,3
2025-03-17,17850.4,17739.7,17885.04,17719.27,0.59,2025,3
2025-03-18,17836.67,17866.27,17890.68,17822.86,-0.08,2025,3
2025-03-19,17820.5,17849.03,17859.64,17800.78,-0.09,2025,3
2025-03-20,17827.48,17831.21,17859.14,17746.92,0.04,2025,3
2025-03-21,17829.27,17842.31,17875.97,17812.79,0.01,2025,3
2025-03-24,17887.31,17843.21,17944.5,17808.3,0.33,2025,3
2025-03-25,17925.92,17905.03,17953.12,17880.14,0.22,2025,3
2025-03-26,17909.45,17941.8,17969.5,17882.99,-0.09,2025,3
2025-03-27,17866.63,17923.11,17968.59,17847.79,-0.24,2025,3
2025-03-28,17842.18,17877.74,17915.31,17836.96,-0.14,2025,3
2025-03-31,17768.28,17870.87,17886.49,17771.07,-0.41,2025,3
2025-04-01,17912.33,17784.65,17929.09,17757.52,0.81,2025,4
2025-04-02,17986.37,17915.93,18013.78,17838.88,0.41,2025,4
2025-04-03,18290.78,18003.03,18397.32,17898.05,1.69,2025,4
2025-04-04,18125.57,18311.81,18363.29,18091.94,-0.9,2025,4
2025-04-07,18089.96,18132.63,18197.21,18044.48,-0.2,2025,4
2025-04-08,18220.37,18107.81,18401.34,18105.27,0.72,2025,4
2025-04-09,18430.95,18247.15,18466.68,18231.18,1.16,2025,4
2025-04-10,18405.43,18452.91,18469.14,18276.14,-0.14,2025,4
2025-04-11,18545.36,18426.61,18612.93,18385.07,0.76,2025,4
2025-04-14,18605.19,18569.32,18677.78,18530.51,0.32,2025,4
2025-04-15,18478.18,18622.26,18706.81,18469.9,-0.68,2025,4
2025-04-16,18633.67,18502.99,18653.92,18484.86,0.84,2025,4
2025-04-17,18669.7,18645.17,18709.1,18601.47,0.19,2025,4
2025-04-18,18719.76,18683.43,18757.46,18660.72,0.27,2025,4
2025-04-21,18687.52,18745.94,18797.77,18693.6,-0.17,2025,4
2025-04-22,18792.76,18705.76,18812.16,18692.82,0.56,2025,4
2025-04-23,18725.02,18792.07,18847.03,18693.38,-0.36,2025,4
2025-04-24,18792.82,18724.35,18829.05,18710.68,0.36,2025,4
2025-04-25,18779.28,18792.82,18805.59,18722.69,-0.07,2025,4
2025-04-28,18799.71,18770.98,18818.76,18685.14,0.11,2025,4
2025-04-29,18798.57,18799.04,18826.73,18725.17,-0.01,2025,4
2025-04-30,18845.57,18798.57,18886.63,18766.69,0.25,2025,4
2025-05-01,18770.07,18848.3,18866.76,18757.21,-0.4,2025,5
2025-05-02,18816.25,18770.76,18900.36,18764.66,0.25,2025,5
2025-05-05,18775.09,18850.37,18858.97,18768.3,-0.22,2025,5
2025-05-06,18842.8,18780.53,18883.23,18745.66,0.36,2025,5
2025-05-07,18761.06,18839.38,18865.4,18758.36,-0.43,2025,5
2025-05-08,18645.24,18761.06,18808.71,18633.2,-0.62,2025,5
2025-05-09,18639.29,18644.57,18686.82,18623.35,-0.03,2025,5
2025-05-12,18583.23,18648.02,18701.69,18528.88,-0.3,2025,5
2025-05-13,18629.09,18583.9,18636.45,18520.78,0.25,2025,5
2025-05-14,18543.95,18629.76,18658.11,18537.98,-0.46,2025,5
2025-05-15,18589.04,18556.55,18598.45,18523.27,0.24,2025,5
2025-05-16,18561.1,18589.04,18621.88,18519.99,-0.15,2025,5
2025-05-19,18598.37,18555.12,18647.29,18540.14,0.2,2025,5
2025-05-20,18661.97,18598.36,18672.71,18571.48,0.34,2025,5
2025-05-21,18739.54,18659.96,18802.62,18653.94,0.42,2025,5
2025-05-22,18746.12,18738.87,18764.45,18700.95,0.04,2025,5
2025-05-23,18890.06,18746.13,18932.78,18735.3,0.77,2025,5
2025-05-26,18863.97,18925.88,18954.63,18858.48,-0.14,2025,5
2025-05-27,18767.88,18863.98,18904.38,18730.58,-0.51,2025,5
2025-05-28,18769.2,18769.24,18808.62,18742.78,0.01,2025,5
2025-05-29,18847.09,18770.56,18880.59,18733.99,0.41,2025,5
2025-05-30,18937.81,18847.1,18975.1,18762.88,0.48,2025,5
2025-06-02,18979.19,18940.57,19026.29,18928.18,0.22,2025,6
2025-06-03,18989.84,18979.19,19018.26,18931.4,0.06,2025,6
2025-06-04,19070.74,18989.84,19107.06,18967.97,0.43,2025,6
2025-06-05,19071.73,19069.35,19125.69,19051.97,0.01,2025,6
2025-06-06,19027.94,19070.34,19103.03,19009.2,-0.23,2025,6
2025-06-09,19008.43,19016.83,19079.45,18997.34,-0.1,2025,6
2025-06-10,19028.9,19009.82,19032.38,18962.82,0.11,2025,6
2025-06-11,19036.82,19029.6,19070.99,19001.68,0.04,2025,6
2025-06-12,19141.7,19038.21,19147.34,19021.51,0.55,2025,6
2025-06-13,19194.67,19134.68,19221.55,19078.52,0.28,2025,6
2025-06-16,19203.82,19177.73,19249.21,19164.79,0.05,2025,6
2025-06-17,19064.73,19204.54,19240.73,19044.54,-0.72,2025,6
2025-06-18,19056.37,19068.91,19145.13,19045.58,-0.04,2025,6
2025-06-19,19070.84,19059.85,19080.59,19005.64,0.08,2025,6
2025-06-20,19024.69,19066.66,19099.18,19005.31,-0.24,2025,6
2025-06-23,19088.37,19019.15,19101.58,18969.96,0.33,2025,6
2025-06-24,19067.4,19087.66,19133.62,19036.38,-0.11,2025,6
2025-06-25,19055.78,19066.01,19085.48,19014.21,-0.06,2025,6
2025-06-26,19146.76,19058.55,19181.9,19029.22,0.48,2025,6
2025-06-27,19072.51,19144.65,19162.39,18964.39,-0.39,2025,6
2025-06-30,19193.55,19067.64,19207.66,19026.32,0.63,2025,6
2025-07-01,19149.18,19192.85,19232.19,19116.95,-0.23,2025,7
2025-07-02,19260.36,19148.47,19267.44,19119.31,0.58,2025,7
2025-07-03,19290.24,19258.94,19328.64,19225.85,0.16,2025,7
2025-07-04,19245.05,19289.53,19344.85,19216.14,-0.23,2025,7
2025-07-07,19108.35,19242.93,19260.13,19099.95,-0.71,2025,7
2025-07-08,19131.8,19108.35,19165.02,19082.91,0.12,2025,7
2025-07-09,19099.78,19124.8,19140.12,19064.26,-0.17,2025,7
2025-07-10,19123.8,19100.47,19127.3,19048.47,0.13,2025,7
2025-07-11,19074.91,19122.4,19131.23,19017.26,-0.26,2025,7
2025-07-14,19061.0,19067.25,19119.64,19035.28,-0.07,2025,7
2025-07-15,19045.8,19072.82,19120.34,19035.39,-0.08,2025,7
2025-07-16,19118.62,19044.41,19124.21,19016.46,0.38,2025,7
2025-07-17,19022.0,19117.91,19120.71,18989.55,-0.51,2025,7
2025-07-18,19062.2,19022.0,19103.26,19014.45,0.21,2025,7
2025-07-21,19115.66,19069.84,19124.74,19032.0,0.28,2025,7
2025-07-22,19216.5,19108.68,19222.15,19081.38,0.53,2025,7
2025-07-23,19232.89,19219.32,19269.02,19184.37,0.09,2025,7
2025-07-24,19162.67,19235.02,19245.21,19137.41,-0.37,2025,7
2025-07-25,19081.16,19161.96,19168.36,19047.79,-0.43,2025,7
2025-07-28,19070.51,19090.21,19124.08,19048.21,-0.06,2025,7
2025-07-29,19044.34,19071.2,19119.74,19017.22,-0.14,2025,7
2025-07-30,18948.19,19045.03,19082.39,18924.24,-0.5,2025,7
2025-07-31,18909.42,18949.55,18985.81,18900.15,-0.2,2025,7
2025-08-01,19017.23,18909.42,19051.78,18878.06,0.57,2025,8
2025-08-04,18998.07,19014.46,19056.88,18978.82,-0.1,2025,8
2025-08-05,19059.03,18999.46,19064.56,18976.29,0.32,2025,8
